Anti-ID,Score
Anti-ID 1,0.6667
Anti-ID 2,0.3333
Anti-ID 3,0.5
Anti-ID 4,0.5
Anti-ID 5,0.6667
Anti-ID 6,1.0
Anti-ID 7,0.6667
Anti-ID 8,0.8333
Anti-ID 9,1.0
Anti-ID 10,0.0
Anti-ID 11,0.0
Anti-ID 12,0.8333
Anti-ID 13,0.6667
Anti-ID 14,0.3333
Anti-ID 15,1.0
Anti-ID 16,0.1667
Anti-ID 17,0.8333
Anti-ID 18,0.6667
