Anti-ID & Concentration,Soluble Antigen Interference,Matrix Interference,Combination Interference,Soluble Antigen in Matrix Interference,Total
Anti-ID 1 [100x],0.0,0.2222,0.2222,0.625,1.0694
Anti-ID 2 [100x],0.4,0.2222,0.2222,0.625,1.4694
Anti-ID 3 [100x],0.6,0.3333,0.3333,0.5,1.7666
Anti-ID 4 [100x],0.2,0.4444,0.1111,0.0,0.7555
Anti-ID 5 [100x],1.0,0.4444,1.0,0.875,3.3194
Anti-ID 6 [100x],0.6,0.4444,0.4444,0.625,2.1138
Anti-ID 7 [100x],0.6,0.3333,0.5556,0.75,2.2389
Anti-ID 8 [100x],0.4,0.5556,0.5556,0.5,2.0112
Anti-ID 9 [100x],0.4,0.6667,0.6667,0.375,2.1084
Anti-ID 10 [100x],0.0,0.1111,0.1111,0.75,0.9722
Anti-ID 11 [100x],0.2,0.0,0.0,0.625,0.825
Anti-ID 12 [100x],0.8,1.0,0.8889,0.625,3.3139
Anti-ID 13 [100x],0.0,0.3333,0.5556,0.75,1.6389
Anti-ID 14 [100x],0.6,0.5556,0.7778,0.875,2.8084
Anti-ID 15 [100x],0.6,0.8889,0.5556,0.125,2.1695
Anti-ID 16 [100x],0.6,0.4444,0.7778,1.0,2.8222
Anti-ID 17 [100x],0.0,0.4444,0.4444,0.625,1.5138
Anti-ID 18 [100x],0.2,0.7778,0.6667,0.25,1.8945
Anti-ID 1 [10x],0.3333,0.5556,0.3333,0.5556,1.7778
Anti-ID 2 [10x],0.6667,0.2222,0.1667,0.8889,1.9445
Anti-ID 3 [10x],0.6667,0.5556,0.3333,0.4444,2.0
Anti-ID 4 [10x],0.6667,0.5556,0.3333,0.7778,2.3334
Anti-ID 5 [10x],0.6667,0.6667,0.6667,1.0,3.0001
Anti-ID 6 [10x],0.6667,0.6667,0.5,0.5556,2.389
Anti-ID 7 [10x],0.6667,0.3333,0.5,0.8889,2.3889
Anti-ID 8 [10x],0.3333,0.6667,0.5,0.6667,2.1667
Anti-ID 9 [10x],0.3333,0.5556,0.3333,0.4444,1.6666
Anti-ID 10 [10x],0.3333,0.0,0.0,0.2222,0.5555
Anti-ID 11 [10x],1.0,0.1111,0.5,0.1111,1.7222
Anti-ID 12 [10x],0.6667,1.0,0.8333,0.6667,3.1667
Anti-ID 13 [10x],0.6667,0.6667,0.6667,1.0,3.0001
Anti-ID 14 [10x],0.6667,0.4444,0.5,1.0,2.6111
Anti-ID 15 [10x],1.0,0.7778,0.6667,0.5556,3.0001
Anti-ID 16 [10x],1.0,0.2222,1.0,0.0,2.2222
Anti-ID 17 [10x],0.3333,0.8889,0.5,0.3333,2.0555
Anti-ID 18 [10x],0.0,0.6667,0.5,0.5556,1.7223
Anti-ID 1 [1x],0.75,0.75,0.8889,1.0,3.3889
Anti-ID 2 [1x],0.5,0.375,0.8889,0.4286,2.1925
Anti-ID 3 [1x],0.625,0.625,0.7778,0.8571,2.8849
Anti-ID 4 [1x],0.625,0.75,0.8889,0.7143,2.9782
Anti-ID 5 [1x],0.875,0.5,0.6667,0.8571,2.8988
Anti-ID 6 [1x],1.0,0.625,0.4444,1.0,3.0694
Anti-ID 7 [1x],1.0,0.25,0.3333,0.7143,2.2976
Anti-ID 8 [1x],0.875,0.75,1.0,0.8571,3.4821
Anti-ID 9 [1x],1.0,0.75,0.5556,1.0,3.3056
Anti-ID 10 [1x],0.375,0.125,0.3333,0.2857,1.119
Anti-ID 11 [1x],0.125,0.0,0.1111,0.1429,0.379
Anti-ID 12 [1x],1.0,1.0,0.8889,1.0,3.8889
Anti-ID 13 [1x],0.25,0.75,0.2222,0.4286,1.6508
Anti-ID 14 [1x],0.625,0.25,0.5556,0.5714,2.002
Anti-ID 15 [1x],0.75,0.875,0.8889,1.0,3.5139
Anti-ID 16 [1x],0.0,0.375,0.0,0.0,0.375
Anti-ID 17 [1x],0.875,1.0,0.4444,1.0,3.3194
Anti-ID 18 [1x],0.5,0.625,0.7778,0.5714,2.4742
