Anti-ID & Concentration,Soluble Antigen Interference,Matrix Interference,Combination Interference,Soluble Antigen in Matrix Interference,Total
Anti-ID 1 [100x],3,5,5,5,18
Anti-ID 2 [100x],2,5,2,2,11
Anti-ID 3 [100x],4,4,4,4,16
Anti-ID 4 [100x],3,2,4,5,14
Anti-ID 5 [100x],5,5,6,6,22
Anti-ID 6 [100x],9,7,9,8,33
Anti-ID 7 [100x],6,7,6,5,24
Anti-ID 8 [100x],7,5,7,8,27
Anti-ID 9 [100x],8,9,9,6,32
Anti-ID 10 [100x],1,1,1,1,4
Anti-ID 11 [100x],0,0,0,0,0
Anti-ID 12 [100x],7,3,8,9,27
Anti-ID 13 [100x],4,7,6,5,22
Anti-ID 14 [100x],3,6,3,2,14
Anti-ID 15 [100x],7,8,9,7,31
Anti-ID 16 [100x],3,6,4,3,16
Anti-ID 17 [100x],5,4,7,8,24
Anti-ID 18 [100x],3,7,5,4,19
Anti-ID 1 [10x],5,5,3,2,15
Anti-ID 2 [10x],3,2,2,1,8
Anti-ID 3 [10x],5,3,3,2,13
Anti-ID 4 [10x],5,4,3,2,14
Anti-ID 5 [10x],5,5,3,2,15
Anti-ID 6 [10x],7,5,4,7,23
Anti-ID 7 [10x],3,3,3,2,11
Anti-ID 8 [10x],9,5,4,8,26
Anti-ID 9 [10x],6,5,3,4,18
Anti-ID 10 [10x],1,1,1,0,3
Anti-ID 11 [10x],0,0,0,0,0
Anti-ID 12 [10x],7,3,4,8,22
Anti-ID 13 [10x],4,3,3,3,13
Anti-ID 14 [10x],2,4,2,0,8
Anti-ID 15 [10x],6,6,4,5,21
Anti-ID 16 [10x],8,4,4,6,22
Anti-ID 17 [10x],7,5,4,6,22
Anti-ID 18 [10x],4,5,3,3,15
Anti-ID 1 [1x],3,5,5,3,16
Anti-ID 2 [1x],4,2,4,5,15
Anti-ID 3 [1x],4,2,4,5,15
Anti-ID 4 [1x],4,3,5,5,17
Anti-ID 5 [1x],3,5,5,4,17
Anti-ID 6 [1x],4,5,7,5,21
Anti-ID 7 [1x],3,3,2,2,10
Anti-ID 8 [1x],3,5,7,4,19
Anti-ID 9 [1x],3,4,4,4,15
Anti-ID 10 [1x],4,1,3,4,12
Anti-ID 11 [1x],1,0,6,1,8
Anti-ID 12 [1x],4,4,5,5,18
Anti-ID 13 [1x],4,4,6,5,19
Anti-ID 14 [1x],2,2,1,2,7
Anti-ID 15 [1x],4,5,6,5,20
Anti-ID 16 [1x],0,3,0,0,3
Anti-ID 17 [1x],3,5,5,4,17
Anti-ID 18 [1x],4,4,5,5,18
