Anti-ID,Score,
Anti-ID 1,2,2.0
Anti-ID 2,2,2.0
Anti-ID 3,3,3.0
Anti-ID 4,2,2.0
Anti-ID 5,3,3.0
Anti-ID 6,3,3.0
Anti-ID 7,3,3.0
Anti-ID 8,2,2.0
Anti-ID 9,2,2.0
Anti-ID 10,0,0.0
Anti-ID 11,0,0.0
Anti-ID 12,3,3.0
Anti-ID 13,2,2.0
Anti-ID 14,3,3.0
Anti-ID 15,3,3.0
Anti-ID 16,1,1.0
Anti-ID 17,2,2.0
Anti-ID 18,2,2.0
