Anti-ID & Concentration,Soluble Antigen Interference,Matrix Interference,Combination Interference,Soluble Antigen in Matrix Interference,Total
Anti-ID 1 [100x],4,6,2,3,15
Anti-ID 2 [100x],3,5,1,3,12
Anti-ID 3 [100x],9,9,3,1,22
Anti-ID 4 [100x],5,7,2,3,17
Anti-ID 5 [100x],3,5,1,3,12
Anti-ID 6 [100x],9,8,2,2,21
Anti-ID 7 [100x],1,1,0,2,4
Anti-ID 8 [100x],6,9,1,0,16
Anti-ID 9 [100x],8,4,1,2,15
Anti-ID 10 [100x],3,4,0,0,7
Anti-ID 11 [100x],4,3,0,0,7
Anti-ID 12 [100x],7,4,1,3,15
Anti-ID 13 [100x],2,6,2,2,12
Anti-ID 14 [100x],4,2,1,1,8
Anti-ID 15 [100x],3,1,0,3,7
Anti-ID 16 [100x],0,0,0,2,2
Anti-ID 17 [100x],4,6,2,3,15
Anti-ID 18 [100x],6,8,2,2,18
Anti-ID 1 [10x],1,5,5,4,15
Anti-ID 2 [10x],3,6,4,6,19
Anti-ID 3 [10x],3,7,6,4,20
Anti-ID 4 [10x],3,9,4,2,18
Anti-ID 5 [10x],2,7,5,6,20
Anti-ID 6 [10x],2,6,4,6,18
Anti-ID 7 [10x],1,3,3,5,12
Anti-ID 8 [10x],1,6,0,0,7
Anti-ID 9 [10x],3,8,5,4,20
Anti-ID 10 [10x],1,1,1,1,4
Anti-ID 11 [10x],2,0,1,4,7
Anti-ID 12 [10x],3,8,5,6,22
Anti-ID 13 [10x],1,7,5,6,19
Anti-ID 14 [10x],1,1,2,6,10
Anti-ID 15 [10x],2,4,4,5,15
Anti-ID 16 [10x],1,2,3,6,12
Anti-ID 17 [10x],0,5,5,3,13
Anti-ID 18 [10x],1,5,4,6,16
Anti-ID 1 [1x],2,3,7,3,15
Anti-ID 2 [1x],0,1,3,2,6
Anti-ID 3 [1x],2,3,6,3,14
Anti-ID 4 [1x],2,4,8,4,18
Anti-ID 5 [1x],2,3,6,4,15
Anti-ID 6 [1x],3,4,8,4,19
Anti-ID 7 [1x],2,2,3,4,11
Anti-ID 8 [1x],2,4,7,4,17
Anti-ID 9 [1x],4,4,6,4,18
Anti-ID 10 [1x],2,1,0,4,7
Anti-ID 11 [1x],2,0,2,1,5
Anti-ID 12 [1x],3,4,4,3,14
Anti-ID 13 [1x],2,3,7,2,14
Anti-ID 14 [1x],2,1,1,3,7
Anti-ID 15 [1x],3,3,5,4,15
Anti-ID 16 [1x],1,2,9,0,12
Anti-ID 17 [1x],2,5,8,4,19
Anti-ID 18 [1x],2,3,6,3,14
