Anti-ID,Score,
Anti-ID 1,3,3.0
Anti-ID 2,3,3.0
Anti-ID 3,4,4.0
Anti-ID 4,3,3.0
Anti-ID 5,3,3.0
Anti-ID 6,4,4.0
Anti-ID 7,1,1.0
Anti-ID 8,2,2.0
Anti-ID 9,4,4.0
Anti-ID 10,0,0.0
Anti-ID 11,0,0.0
Anti-ID 12,4,4.0
Anti-ID 13,3,3.0
Anti-ID 14,1,1.0
Anti-ID 15,1,1.0
Anti-ID 16,1,1.0
Anti-ID 17,3,3.0
Anti-ID 18,3,3.0
