Analytical Metric,4 Components,5 Components,6 Components,7 Components,8 Components,9 Components,10 Components
Background,-964.0590047224274,-970.5019747499596,-967.8639539980318,-963.0402419795964,-957.6137361819124,-949.924381957178,-943.8473190713082
ULT Sen. + Ant.,2090.6946965407815,2095.388665266786,2052.0329225555593,2060.5952174896283,2038.6279300432352,2044.2045736997666,1999.5539753587823
ULT Sen. - Ant.,2106.025366232896,2093.359064301503,1998.8012361281476,2055.149445593377,1960.40473536455,1966.5953831478637,1972.866161683367
LLT Sen. + Ant.,196.20728350330657,194.97814650867355,197.49385611986074,200.77950788051572,204.33189307170107,211.37405319572943,169.7391954551445
LLT Sen. - Ant.,406.1425773076326,316.07639207321387,325.64155577499787,326.8566524078579,311.3559454976836,305.1007851941925,286.0999842239527
S/N + Ant.,-957.8525424879429,-1046.0502238998522,-1048.6321577970089,-1049.428196581659,-1044.767125839106,-1042.3894338048967,-1041.5974884907157
S/N - Ant.,-864.1290169222925,-949.1758023764543,-940.8714339186168,-970.6651607018046,-974.0744559396117,-987.0612699999178,-980.4800910360668
Ant. Int. [100x],-449.08010698817714,-439.16951840636625,-441.78892334827293,-431.7658955451996,-446.2197973699599,-437.0150307177064,-429.02635950766694
Ant. Int. [10x],-616.1781935242154,-615.5228957033996,-607.5298264085886,-609.0710528705907,-615.2726362351073,-594.7012584559063,-608.3196970215514
Ant. Int. [1x],-702.4306185346564,-695.2023875024471,-693.1803443999752,-683.4310463796076,-695.3404699467213,-691.7204019171946,-686.2317763980253
