PKA Conditions,Background,ULOQ Sen. + Ant.,ULOQ Sen. - Ant.,LLOQ Sen. + Ant.,LLOQ Sen. - Ant.,S/N + Ant.,S/N - Ant.,Ant. Int. [100x],Ant. Int. [10x],Ant. Int. [1x],Total
Tag-6/6-Biotin antigen [0.25 ug] format 1,3,1,1,1,0,2,0,0,3,6,17
Tag-8/6-Biotin antigen [0.25 ug] format 1,3,1,1,1,1,2,1,1,2,5,18
Tag-9/6-Biotin antigen [0.25 ug] format 1,3,0,0,1,1,1,0,3,2,2,13
Tag-12/6-Biotin antigen [0.25 ug] format 1,3,1,1,0,1,2,0,2,3,5,18
Tag-17/6-Biotin antigen [0.25 ug] format 1,3,0,0,1,1,1,0,2,2,5,15
Generic-Tag/6-Biotin antigen [0.25 ug] format 1,2,4,6,1,1,2,0,3,2,6,27
Tag-6/8-Biotin antigen [0.25 ug] format 1,3,1,1,2,0,3,0,1,3,6,20
Tag-8/8-Biotin antigen [0.25 ug] format 1,3,1,1,2,2,3,1,2,3,4,22
Tag-9/8-Biotin antigen [0.25 ug] format 1,3,0,0,0,0,1,0,2,3,4,13
Tag-12/8-Biotin antigen [0.25 ug] format 1,3,1,1,0,1,2,0,2,3,6,19
Tag-17/8-Biotin antigen [0.25 ug] format 1,3,0,0,0,0,1,0,2,3,6,15
Generic-Tag/8-Biotin antigen [0.25 ug] format 1,2,3,3,0,2,2,0,3,2,6,23
Tag-6/9-Biotin antigen [0.25 ug] format 1,3,0,0,2,1,1,0,0,3,5,15
Tag-8/9-Biotin antigen [0.25 ug] format 1,3,0,0,0,1,1,0,1,3,3,12
Tag-9/9-Biotin antigen [0.25 ug] format 1,3,0,0,0,1,1,0,3,3,5,16
Tag-12/9-Biotin antigen [0.25 ug] format 1,3,0,0,0,1,1,0,2,3,6,16
Tag-17/9-Biotin antigen [0.25 ug] format 1,3,0,0,0,2,2,0,2,3,2,14
Generic-Tag/9-Biotin antigen [0.25 ug] format 1,2,3,3,0,0,2,0,3,3,6,22
Tag-6/12-Biotin antigen [0.25 ug] format 1,3,1,1,0,1,1,1,1,3,5,17
Tag-8/12-Biotin antigen [0.25 ug] format 1,3,1,1,1,0,3,0,1,3,6,19
Tag-9/12-Biotin antigen [0.25 ug] format 1,3,0,0,0,1,2,0,3,2,3,14
Tag-12/12-Biotin antigen [0.25 ug] format 1,3,1,1,1,0,2,0,3,3,5,19
Tag-17/12-Biotin antigen [0.25 ug] format 1,3,0,0,1,2,2,0,3,3,5,19
Generic-Tag/12-Biotin antigen [0.25 ug] format 1,2,3,3,0,1,2,0,3,3,6,23
Tag-6/17-Biotin antigen [0.25 ug] format 1,2,1,0,2,2,2,0,2,3,6,20
Tag-8/17-Biotin antigen [0.25 ug] format 1,3,0,0,0,0,1,0,2,3,2,11
Tag-9/17-Biotin antigen [0.25 ug] format 1,3,0,0,1,1,2,0,3,3,6,19
Tag-12/17-Biotin antigen [0.25 ug] format 1,2,0,0,2,1,2,0,2,3,5,17
Tag-17/17-Biotin antigen [0.25 ug] format 1,2,0,0,1,0,2,0,3,3,6,17
Generic-Tag/17-Biotin antigen [0.25 ug] format 1,2,3,4,2,0,2,0,3,3,6,25
Tag-6/6-Biotin antigen [0.25 ug] format 2,3,1,1,2,1,3,0,1,3,5,20
Tag-8/6-Biotin antigen [0.25 ug] format 2,3,1,1,1,1,2,0,2,3,5,19
Tag-9/6-Biotin antigen [0.25 ug] format 2,3,0,0,0,1,2,1,2,1,2,12
Tag-12/6-Biotin antigen [0.25 ug] format 2,3,1,1,0,1,2,0,2,3,3,16
Tag-17/6-Biotin antigen [0.25 ug] format 2,3,0,0,0,0,1,0,2,3,6,15
