PKA Conditions,Background,ULOQ Sen. + Ant.,ULOQ Sen. - Ant.,LLOQ Sen. + Ant.,LLOQ Sen. - Ant.,S/N + Ant.,S/N - Ant.,Ant. Int. [100x],Ant. Int. [10x],Ant. Int. [1x],Total
Generic-Tag/6-Biotin antigen [0.25 ug] format 2,2,4,6,0,0,2,0,3,2,5,24
Tag-6/8-Biotin antigen [0.25 ug] format 2,3,1,1,2,2,3,1,1,3,5,22
Tag-8/8-Biotin antigen [0.25 ug] format 2,3,1,1,2,2,3,1,2,1,2,18
Tag-9/8-Biotin antigen [0.25 ug] format 2,3,0,0,2,1,3,1,2,3,6,21
Tag-12/8-Biotin antigen [0.25 ug] format 2,3,1,1,0,0,2,0,2,3,4,16
Tag-17/8-Biotin antigen [0.25 ug] format 2,3,0,0,0,1,1,0,2,3,4,14
Generic-Tag/8-Biotin antigen [0.25 ug] format 2,2,3,3,0,1,2,0,3,3,6,23
Tag-6/9-Biotin antigen [0.25 ug] format 2,3,0,0,0,0,1,0,0,3,5,12
Tag-8/9-Biotin antigen [0.25 ug] format 2,3,0,0,0,0,1,0,2,2,5,13
Tag-9/9-Biotin antigen [0.25 ug] format 2,3,0,0,0,0,2,0,3,3,4,15
Tag-12/9-Biotin antigen [0.25 ug] format 2,3,0,0,0,1,2,0,2,3,5,16
Tag-17/9-Biotin antigen [0.25 ug] format 2,3,0,0,1,2,1,0,3,3,6,19
Generic-Tag/9-Biotin antigen [0.25 ug] format 2,2,3,3,0,0,1,0,3,3,5,20
Tag-6/12-Biotin antigen [0.25 ug] format 2,3,1,1,0,0,1,0,2,3,3,14
Tag-8/12-Biotin antigen [0.25 ug] format 2,3,1,1,2,1,3,1,1,3,4,20
Tag-9/12-Biotin antigen [0.25 ug] format 2,3,0,0,1,1,1,0,3,2,2,13
Tag-12/12-Biotin antigen [0.25 ug] format 2,3,1,1,0,0,2,0,3,3,4,17
Tag-17/12-Biotin antigen [0.25 ug] format 2,3,0,0,1,2,1,0,3,3,3,16
Generic-Tag/12-Biotin antigen [0.25 ug] format 2,2,3,4,2,2,2,0,3,3,4,25
Tag-6/17-Biotin antigen [0.25 ug] format 2,2,0,0,2,0,2,0,2,3,6,17
Tag-8/17-Biotin antigen [0.25 ug] format 2,3,0,0,1,0,2,0,3,3,3,15
Tag-9/17-Biotin antigen [0.25 ug] format 2,3,0,0,0,1,2,0,3,2,4,15
Tag-12/17-Biotin antigen [0.25 ug] format 2,3,0,0,0,0,1,0,3,3,6,16
Tag-17/17-Biotin antigen [0.25 ug] format 2,3,0,0,0,1,1,0,3,3,4,15
Generic-Tag/17-Biotin antigen [0.25 ug] format 2,2,3,4,2,1,2,0,3,3,4,24
Tag-6/6-Biotin antigen [0.25 ug] format 3,3,1,1,0,0,2,0,1,2,4,14
Tag-8/6-Biotin antigen [0.25 ug] format 3,3,1,1,1,1,3,1,2,2,3,18
Tag-9/6-Biotin antigen [0.25 ug] format 3,3,0,0,0,0,2,0,2,3,4,14
Tag-12/6-Biotin antigen [0.25 ug] format 3,3,1,1,1,1,2,1,2,3,6,21
Tag-17/6-Biotin antigen [0.25 ug] format 3,3,0,0,2,1,1,0,1,2,4,14
Generic-Tag/6-Biotin antigen [0.25 ug] format 3,2,4,6,1,1,2,0,3,3,5,27
Tag-6/8-Biotin antigen [0.25 ug] format 3,3,1,1,1,2,2,1,2,1,2,16
Tag-8/8-Biotin antigen [0.25 ug] format 3,3,1,1,1,1,2,0,3,1,3,16
Tag-9/8-Biotin antigen [0.25 ug] format 3,3,0,0,1,1,2,1,3,3,4,18
Tag-12/8-Biotin antigen [0.25 ug] format 3,3,1,1,2,0,3,0,3,2,3,18
Tag-17/8-Biotin antigen [0.25 ug] format 3,3,0,0,1,0,2,0,3,1,6,16
Generic-Tag/8-Biotin antigen [0.25 ug] format 3,2,3,3,1,1,2,0,3,3,6,24
Tag-6/9-Biotin antigen [0.25 ug] format 3,3,0,0,0,0,2,0,1,3,4,13
Tag-8/9-Biotin antigen [0.25 ug] format 3,3,0,0,2,0,3,0,2,2,4,16
Tag-9/9-Biotin antigen [0.25 ug] format 3,3,0,0,0,1,2,0,3,2,4,15
Tag-12/9-Biotin antigen [0.25 ug] format 3,2,0,0,2,1,2,0,3,2,5,17
Tag-17/9-Biotin antigen [0.25 ug] format 3,3,0,0,0,0,2,0,3,3,6,17
Generic-Tag/9-Biotin antigen [0.25 ug] format 3,2,3,3,0,2,2,0,3,2,4,21
Tag-6/12-Biotin antigen [0.25 ug] format 3,3,1,1,1,0,2,0,2,2,3,15
Tag-8/12-Biotin antigen [0.25 ug] format 3,3,1,1,1,2,2,1,1,1,2,15
Tag-9/12-Biotin antigen [0.25 ug] format 3,3,0,0,0,0,2,0,3,2,4,14
Tag-12/12-Biotin antigen [0.25 ug] format 3,3,1,1,1,1,2,0,3,1,3,16
Tag-17/12-Biotin antigen [0.25 ug] format 3,3,0,0,1,0,1,0,3,2,4,14
Generic-Tag/12-Biotin antigen [0.25 ug] format 3,2,3,3,1,2,2,0,3,1,5,22
Tag-6/17-Biotin antigen [0.25 ug] format 3,2,1,1,1,1,2,0,3,1,4,16
Tag-8/17-Biotin antigen [0.25 ug] format 3,3,0,1,2,2,3,1,3,1,3,19
Tag-9/17-Biotin antigen [0.25 ug] format 3,3,0,0,2,0,3,0,3,3,6,20
Tag-12/17-Biotin antigen [0.25 ug] format 3,3,0,0,1,0,2,0,3,1,4,14
Tag-17/17-Biotin antigen [0.25 ug] format 3,2,0,0,0,0,1,0,3,2,4,12
Generic-Tag/17-Biotin antigen [0.25 ug] format 3,2,3,5,1,2,2,0,3,2,5,25
Tag-6/6-Biotin antigen [0.25 ug] format 4,3,1,1,1,1,1,0,2,2,2,14
Tag-8/6-Biotin antigen [0.25 ug] format 4,3,0,0,0,0,2,0,3,1,2,11
Tag-9/6-Biotin antigen [0.25 ug] format 4,3,0,0,0,0,1,0,2,3,3,12
Tag-12/6-Biotin antigen [0.25 ug] format 4,3,0,0,0,0,2,0,2,3,4,14
Tag-17/6-Biotin antigen [0.25 ug] format 4,1,0,0,1,1,2,0,2,2,5,14
Generic-Tag/6-Biotin antigen [0.25 ug] format 4,1,5,9,8,6,4,2,3,3,5,46
Tag-6/8-Biotin antigen [0.25 ug] format 4,3,2,2,0,1,1,0,1,0,6,16
Tag-8/8-Biotin antigen [0.25 ug] format 4,3,1,1,0,0,1,0,3,2,5,16
Tag-9/8-Biotin antigen [0.25 ug] format 4,3,0,0,0,1,1,0,2,2,4,13
Tag-12/8-Biotin antigen [0.25 ug] format 4,3,1,1,0,0,1,0,2,1,2,11
Tag-17/8-Biotin antigen [0.25 ug] format 4,2,0,0,1,1,1,0,2,2,6,15
Generic-Tag/8-Biotin antigen [0.25 ug] format 4,1,5,9,5,4,4,2,3,3,6,42
Tag-6/9-Biotin antigen [0.25 ug] format 4,3,0,0,1,0,1,0,2,0,2,9
Tag-8/9-Biotin antigen [0.25 ug] format 4,3,0,0,0,1,2,0,2,0,2,10
Tag-9/9-Biotin antigen [0.25 ug] format 4,3,0,0,0,1,1,0,1,2,2,10
Tag-12/9-Biotin antigen [0.25 ug] format 4,3,0,0,0,0,2,0,1,2,4,12
Tag-17/9-Biotin antigen [0.25 ug] format 4,2,0,0,2,0,1,0,1,2,4,12
Generic-Tag/9-Biotin antigen [0.25 ug] format 4,1,5,8,5,4,4,2,3,3,6,41
Tag-6/12-Biotin antigen [0.25 ug] format 4,3,2,2,1,0,2,0,3,3,5,21
Tag-8/12-Biotin antigen [0.25 ug] format 4,3,1,2,1,0,2,0,3,3,5,20
Tag-9/12-Biotin antigen [0.25 ug] format 4,3,1,1,1,0,2,0,3,2,5,18
Tag-12/12-Biotin antigen [0.25 ug] format 4,3,2,2,0,0,2,0,3,2,5,19
Tag-17/12-Biotin antigen [0.25 ug] format 4,2,1,1,0,0,2,0,3,3,5,17
Generic-Tag/12-Biotin antigen [0.25 ug] format 4,1,5,8,7,5,4,3,3,2,4,42
Tag-6/17-Biotin antigen [0.25 ug] format 4,2,0,0,0,0,2,0,3,3,6,16
Tag-8/17-Biotin antigen [0.25 ug] format 4,3,0,0,0,0,2,0,3,2,6,16
Tag-9/17-Biotin antigen [0.25 ug] format 4,3,0,0,1,0,2,0,3,2,4,15
Tag-12/17-Biotin antigen [0.25 ug] format 4,2,0,0,0,0,2,0,2,2,3,11
Tag-17/17-Biotin antigen [0.25 ug] format 4,2,0,0,2,1,1,0,2,1,3,12
Generic-Tag/17-Biotin antigen [0.25 ug] format 4,1,4,8,2,4,2,1,2,2,6,32
Tag-6/6-Biotin antigen [0.25 ug] format 5,3,1,1,1,1,1,0,3,3,4,18
Tag-8/6-Biotin antigen [0.25 ug] format 5,3,0,0,1,1,3,0,2,3,6,19
Tag-9/6-Biotin antigen [0.25 ug] format 5,3,0,0,0,1,2,0,1,2,4,13
Tag-12/6-Biotin antigen [0.25 ug] format 5,3,0,0,0,1,2,0,1,3,5,15
Tag-17/6-Biotin antigen [0.25 ug] format 5,1,0,0,0,1,2,0,0,3,5,12
Generic-Tag/6-Biotin antigen [0.25 ug] format 5,1,5,9,6,5,4,2,3,3,5,43
Tag-6/8-Biotin antigen [0.25 ug] format 5,3,1,1,0,1,2,0,1,0,4,13
Tag-8/8-Biotin antigen [0.25 ug] format 5,3,0,0,2,0,3,0,1,3,6,18
Tag-9/8-Biotin antigen [0.25 ug] format 5,3,0,0,0,0,1,0,0,0,2,6
Tag-12/8-Biotin antigen [0.25 ug] format 5,3,1,1,0,0,2,0,0,1,3,11
Tag-17/8-Biotin antigen [0.25 ug] format 5,2,1,1,0,1,1,0,2,2,6,16
Generic-Tag/8-Biotin antigen [0.25 ug] format 5,1,5,9,5,4,4,2,3,2,6,41
Tag-6/9-Biotin antigen [0.25 ug] format 5,3,0,1,0,0,2,0,1,2,5,14
Tag-8/9-Biotin antigen [0.25 ug] format 5,3,0,0,0,2,1,0,0,1,1,8
Tag-9/9-Biotin antigen [0.25 ug] format 5,3,0,0,0,0,2,0,1,0,2,8
Tag-12/9-Biotin antigen [0.25 ug] format 5,3,0,0,0,1,1,0,1,1,2,9
Tag-17/9-Biotin antigen [0.25 ug] format 5,2,0,0,3,0,1,0,2,2,4,14
Generic-Tag/9-Biotin antigen [0.25 ug] format 5,1,5,8,4,4,4,2,3,2,6,39
Tag-6/12-Biotin antigen [0.25 ug] format 5,3,2,2,0,1,1,0,3,3,3,18
Tag-8/12-Biotin antigen [0.25 ug] format 5,3,1,1,1,0,2,0,3,3,4,18
Tag-9/12-Biotin antigen [0.25 ug] format 5,3,1,1,1,0,2,0,3,3,6,20
Tag-12/12-Biotin antigen [0.25 ug] format 5,3,2,2,0,0,2,0,3,2,6,20
Tag-17/12-Biotin antigen [0.25 ug] format 5,2,1,1,0,0,2,0,3,3,4,16
Generic-Tag/12-Biotin antigen [0.25 ug] format 5,1,5,9,6,5,4,3,3,1,4,41
Tag-6/17-Biotin antigen [0.25 ug] format 5,2,0,0,3,0,3,0,2,2,5,17
Tag-8/17-Biotin antigen [0.25 ug] format 5,3,0,0,0,1,1,0,2,1,2,10
Tag-9/17-Biotin antigen [0.25 ug] format 5,3,0,0,0,0,1,0,3,2,4,13
Tag-12/17-Biotin antigen [0.25 ug] format 5,2,0,0,0,2,1,0,2,1,5,13
Tag-17/17-Biotin antigen [0.25 ug] format 5,2,0,0,2,2,1,0,0,3,5,15
Generic-Tag/17-Biotin antigen [0.25 ug] format 5,1,5,7,4,3,3,1,3,2,5,34
Tag-6/6-Biotin antigen [0.25 ug] format 6,3,2,2,0,1,2,0,2,3,4,19
Tag-8/6-Biotin antigen [0.25 ug] format 6,3,1,1,0,0,2,0,2,3,4,16
Tag-9/6-Biotin antigen [0.25 ug] format 6,3,0,0,2,0,3,0,2,2,5,17
Tag-12/6-Biotin antigen [0.25 ug] format 6,3,1,1,0,0,2,0,2,2,5,16
Tag-17/6-Biotin antigen [0.25 ug] format 6,1,1,1,2,1,2,0,3,2,4,17
Generic-Tag/6-Biotin antigen [0.25 ug] format 6,1,5,9,7,7,4,2,3,0,4,42
Tag-6/8-Biotin antigen [0.25 ug] format 6,3,2,2,0,1,2,0,2,3,4,19
Tag-8/8-Biotin antigen [0.25 ug] format 6,3,1,1,1,0,2,0,2,2,5,17
Tag-9/8-Biotin antigen [0.25 ug] format 6,3,0,0,0,0,2,0,1,3,5,14
Tag-12/8-Biotin antigen [0.25 ug] format 6,3,2,1,0,0,2,0,2,2,5,17
Tag-17/8-Biotin antigen [0.25 ug] format 6,2,1,1,1,0,2,0,2,3,6,18
Generic-Tag/8-Biotin antigen [0.25 ug] format 6,1,5,8,7,8,4,3,3,0,4,43
Tag-6/9-Biotin antigen [0.25 ug] format 6,2,1,1,0,0,2,0,3,1,4,14
Tag-8/9-Biotin antigen [0.25 ug] format 6,3,0,0,0,1,2,0,3,1,3,13
Tag-9/9-Biotin antigen [0.25 ug] format 6,3,0,0,1,0,2,0,3,2,4,15
Tag-12/9-Biotin antigen [0.25 ug] format 6,3,0,0,1,0,2,0,3,3,4,16
Tag-17/9-Biotin antigen [0.25 ug] format 6,2,0,0,0,1,2,0,3,3,6,17
Generic-Tag/9-Biotin antigen [0.25 ug] format 6,1,5,8,6,6,4,3,3,0,4,40
Tag-6/12-Biotin antigen [0.25 ug] format 6,3,2,2,0,0,2,0,3,1,3,16
Tag-8/12-Biotin antigen [0.25 ug] format 6,2,1,1,0,2,1,0,3,1,2,13
Tag-9/12-Biotin antigen [0.25 ug] format 6,3,0,0,1,1,2,1,3,3,6,20
Tag-12/12-Biotin antigen [0.25 ug] format 6,3,1,1,2,0,1,0,3,2,4,17
Tag-17/12-Biotin antigen [0.25 ug] format 6,2,1,1,2,1,1,0,3,3,5,19
Generic-Tag/12-Biotin antigen [0.25 ug] format 6,1,5,8,5,6,4,3,3,0,4,39
Tag-6/17-Biotin antigen [0.25 ug] format 6,2,1,1,3,0,3,0,3,0,4,17
Tag-8/17-Biotin antigen [0.25 ug] format 6,3,0,0,0,1,2,0,3,0,6,15
Tag-9/17-Biotin antigen [0.25 ug] format 6,3,0,0,1,0,1,0,2,2,4,13
Tag-12/17-Biotin antigen [0.25 ug] format 6,3,0,0,0,2,2,0,3,0,0,10
Tag-17/17-Biotin antigen [0.25 ug] format 6,1,0,0,3,2,2,0,2,2,4,16
Generic-Tag/17-Biotin antigen [0.25 ug] format 6,0,5,9,9,8,0,2,3,0,4,40
