Format,[0.25 µg/mL],[1.0 µg/mL],Total
Format 1,129.297,100.91149999999999,230.20850000000004
Format 2,128.59709999999998,110.4671,239.06420000000003
Format 3,125.1306,102.02639999999998,227.15700000000004
Format 4,127.60310000000005,130.2369,257.8399999999999
Format 5,124.2415,126.08400000000002,250.32550000000003
Format 6,134.2811,110.43059999999998,244.71170000000006
