Condition,Background,ULOQ Sen. + Ant.,ULOQ Sen. - Ant.,LLOQ Sen. + Ant.,LLOQ Sen. - Ant.,S/N + Ant.,S/N - Ant.,Ant. Int. [100x],Ant. Int. [10x],Ant. Int. [1x],Total
Tag-12/17-Biotin antigen [0.25 ug] format 1,0.6667,0.0,0.0,0.2222,0.125,0.5,0.0,0.6667,1.0,0.8333,4.0139
Tag-17/17-Biotin antigen [0.25 ug] format 1,0.6667,0.0,0.0,0.1111,0.0,0.5,0.0,1.0,1.0,1.0,4.2778
Generic-Tag/17-Biotin antigen [0.25 ug] format 1,0.6667,0.6,0.4444,0.2222,0.0,0.5,0.0,1.0,1.0,1.0,5.4333
Tag-6/6-Biotin antigen [0.25 ug] format 2,1.0,0.2,0.1111,0.2222,0.125,0.75,0.0,0.3333,1.0,0.8333,4.5749
Tag-8/6-Biotin antigen [0.25 ug] format 2,1.0,0.2,0.1111,0.1111,0.125,0.5,0.0,0.6667,1.0,0.8333,4.5472
Tag-9/6-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.0,0.125,0.5,0.3333,0.6667,0.3333,0.3333,3.2916
Tag-12/6-Biotin antigen [0.25 ug] format 2,1.0,0.2,0.1111,0.0,0.125,0.5,0.0,0.6667,1.0,0.5,4.1028
Tag-17/6-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.6667,1.0,1.0,3.9167
Generic-Tag/6-Biotin antigen [0.25 ug] format 2,0.6667,0.8,0.6667,0.0,0.0,0.5,0.0,1.0,0.6667,0.8333,5.1334
Tag-6/8-Biotin antigen [0.25 ug] format 2,1.0,0.2,0.1111,0.2222,0.25,0.75,0.3333,0.3333,1.0,0.8333,5.0332
Tag-8/8-Biotin antigen [0.25 ug] format 2,1.0,0.2,0.1111,0.2222,0.25,0.75,0.3333,0.6667,0.3333,0.3333,4.1999
Tag-9/8-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.2222,0.125,0.75,0.3333,0.6667,1.0,1.0,5.0972
Tag-12/8-Biotin antigen [0.25 ug] format 2,1.0,0.2,0.1111,0.0,0.0,0.5,0.0,0.6667,1.0,0.6667,4.1445
Tag-17/8-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.0,0.125,0.25,0.0,0.6667,1.0,0.6667,3.7084
Generic-Tag/8-Biotin antigen [0.25 ug] format 2,0.6667,0.6,0.3333,0.0,0.125,0.5,0.0,1.0,1.0,1.0,5.225
Tag-6/9-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.8333,3.0833
Tag-8/9-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.6667,0.6667,0.8333,3.4167
Tag-9/9-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.6667,4.1667
Tag-12/9-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.0,0.125,0.5,0.0,0.6667,1.0,0.8333,4.125
Tag-17/9-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.1111,0.25,0.25,0.0,1.0,1.0,1.0,4.6111
Generic-Tag/9-Biotin antigen [0.25 ug] format 2,0.6667,0.6,0.3333,0.0,0.0,0.25,0.0,1.0,1.0,0.8333,4.6833
Tag-6/12-Biotin antigen [0.25 ug] format 2,1.0,0.2,0.1111,0.0,0.0,0.25,0.0,0.6667,1.0,0.5,3.7278
Tag-8/12-Biotin antigen [0.25 ug] format 2,1.0,0.2,0.1111,0.2222,0.125,0.75,0.3333,0.3333,1.0,0.6667,4.7416
Tag-9/12-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.1111,0.125,0.25,0.0,1.0,0.6667,0.3333,3.4861
Tag-12/12-Biotin antigen [0.25 ug] format 2,1.0,0.2,0.1111,0.0,0.0,0.5,0.0,1.0,1.0,0.6667,4.4778
Tag-17/12-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.1111,0.25,0.25,0.0,1.0,1.0,0.5,4.1111
Generic-Tag/12-Biotin antigen [0.25 ug] format 2,0.6667,0.6,0.4444,0.2222,0.25,0.5,0.0,1.0,1.0,0.6667,5.35
Tag-6/17-Biotin antigen [0.25 ug] format 2,0.6667,0.0,0.0,0.2222,0.0,0.5,0.0,0.6667,1.0,1.0,4.0556
Tag-8/17-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.1111,0.0,0.5,0.0,1.0,1.0,0.5,4.1111
Tag-9/17-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.0,0.125,0.5,0.0,1.0,0.6667,0.6667,3.9584
Tag-12/17-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.0,1.0,4.25
Tag-17/17-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.0,0.125,0.25,0.0,1.0,1.0,0.6667,4.0417
Generic-Tag/17-Biotin antigen [0.25 ug] format 2,0.6667,0.6,0.4444,0.2222,0.125,0.5,0.0,1.0,1.0,0.6667,5.225
Tag-6/6-Biotin antigen [0.25 ug] format 3,1.0,0.2,0.1111,0.0,0.0,0.5,0.0,0.3333,0.6667,0.6667,3.4778
Tag-8/6-Biotin antigen [0.25 ug] format 3,1.0,0.2,0.1111,0.1111,0.125,0.75,0.3333,0.6667,0.6667,0.5,4.4639
Tag-9/6-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6667,1.0,0.6667,3.8334
Tag-12/6-Biotin antigen [0.25 ug] format 3,1.0,0.2,0.1111,0.1111,0.125,0.5,0.3333,0.6667,1.0,1.0,5.0472
Tag-17/6-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.2222,0.125,0.25,0.0,0.3333,0.6667,0.6667,3.2639
Generic-Tag/6-Biotin antigen [0.25 ug] format 3,0.6667,0.8,0.6667,0.1111,0.125,0.5,0.0,1.0,1.0,0.8333,5.7028
Tag-6/8-Biotin antigen [0.25 ug] format 3,1.0,0.2,0.1111,0.1111,0.25,0.5,0.3333,0.6667,0.3333,0.3333,3.8388
Tag-8/8-Biotin antigen [0.25 ug] format 3,1.0,0.2,0.1111,0.1111,0.125,0.5,0.0,1.0,0.3333,0.5,3.8805
Tag-9/8-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.1111,0.125,0.5,0.3333,1.0,1.0,0.6667,4.7361
Tag-12/8-Biotin antigen [0.25 ug] format 3,1.0,0.2,0.1111,0.2222,0.0,0.75,0.0,1.0,0.6667,0.5,4.45
Tag-17/8-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.1111,0.0,0.5,0.0,1.0,0.3333,1.0,3.9444
Generic-Tag/8-Biotin antigen [0.25 ug] format 3,0.6667,0.6,0.3333,0.1111,0.125,0.5,0.0,1.0,1.0,1.0,5.3361
Tag-6/9-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333,1.0,0.6667,3.5
Tag-8/9-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.2222,0.0,0.75,0.0,0.6667,0.6667,0.6667,3.9723
Tag-9/9-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.0,0.125,0.5,0.0,1.0,0.6667,0.6667,3.9584
Tag-12/9-Biotin antigen [0.25 ug] format 3,0.6667,0.0,0.0,0.2222,0.125,0.5,0.0,1.0,0.6667,0.8333,4.0139
Tag-17/9-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,4.5
Generic-Tag/9-Biotin antigen [0.25 ug] format 3,0.6667,0.6,0.3333,0.0,0.25,0.5,0.0,1.0,0.6667,0.6667,4.6834
Tag-6/12-Biotin antigen [0.25 ug] format 3,1.0,0.2,0.1111,0.1111,0.0,0.5,0.0,0.6667,0.6667,0.5,3.7556
Tag-8/12-Biotin antigen [0.25 ug] format 3,1.0,0.2,0.1111,0.1111,0.25,0.5,0.3333,0.3333,0.3333,0.3333,3.5054
Tag-9/12-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.6667,0.6667,3.8334
Tag-12/12-Biotin antigen [0.25 ug] format 3,1.0,0.2,0.1111,0.1111,0.125,0.5,0.0,1.0,0.3333,0.5,3.8805
Tag-17/12-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.1111,0.0,0.25,0.0,1.0,0.6667,0.6667,3.6945
Generic-Tag/12-Biotin antigen [0.25 ug] format 3,0.6667,0.6,0.3333,0.1111,0.25,0.5,0.0,1.0,0.3333,0.8333,4.6277
Tag-6/17-Biotin antigen [0.25 ug] format 3,0.6667,0.2,0.1111,0.1111,0.125,0.5,0.0,1.0,0.3333,0.6667,3.7139
Tag-8/17-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.1111,0.2222,0.25,0.75,0.3333,1.0,0.3333,0.5,4.4999
Tag-9/17-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.2222,0.0,0.75,0.0,1.0,1.0,1.0,4.9722
Tag-12/17-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.1111,0.0,0.5,0.0,1.0,0.3333,0.6667,3.6111
Tag-17/17-Biotin antigen [0.25 ug] format 3,0.6667,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.6667,0.6667,3.2501
Generic-Tag/17-Biotin antigen [0.25 ug] format 3,0.6667,0.6,0.5556,0.1111,0.25,0.5,0.0,1.0,0.6667,0.8333,5.1834
Tag-6/6-Biotin antigen [0.25 ug] format 4,1.0,0.2,0.1111,0.1111,0.125,0.25,0.0,0.6667,0.6667,0.3333,3.4639
Tag-8/6-Biotin antigen [0.25 ug] format 4,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.3333,0.3333,3.1666
Tag-9/6-Biotin antigen [0.25 ug] format 4,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.6667,1.0,0.5,3.4167
Tag-12/6-Biotin antigen [0.25 ug] format 4,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6667,1.0,0.6667,3.8334
Tag-17/6-Biotin antigen [0.25 ug] format 4,0.3333,0.0,0.0,0.1111,0.125,0.5,0.0,0.6667,0.6667,0.8333,3.2361
Generic-Tag/6-Biotin antigen [0.25 ug] format 4,0.3333,1.0,1.0,0.8889,0.75,1.0,0.6667,1.0,1.0,0.8333,8.4722
Tag-6/8-Biotin antigen [0.25 ug] format 4,1.0,0.4,0.2222,0.0,0.125,0.25,0.0,0.3333,0.0,1.0,3.3305
Tag-8/8-Biotin antigen [0.25 ug] format 4,1.0,0.2,0.1111,0.0,0.0,0.25,0.0,1.0,0.6667,0.8333,4.0611
Tag-9/8-Biotin antigen [0.25 ug] format 4,1.0,0.0,0.0,0.0,0.125,0.25,0.0,0.6667,0.6667,0.6667,3.3751
Tag-12/8-Biotin antigen [0.25 ug] format 4,1.0,0.2,0.1111,0.0,0.0,0.25,0.0,0.6667,0.3333,0.3333,2.8944
Tag-17/8-Biotin antigen [0.25 ug] format 4,0.6667,0.0,0.0,0.1111,0.125,0.25,0.0,0.6667,0.6667,1.0,3.4862
Generic-Tag/8-Biotin antigen [0.25 ug] format 4,0.3333,1.0,1.0,0.5556,0.5,1.0,0.6667,1.0,1.0,1.0,8.0556
Tag-6/9-Biotin antigen [0.25 ug] format 4,1.0,0.0,0.0,0.1111,0.0,0.25,0.0,0.6667,0.0,0.3333,2.3611
Tag-8/9-Biotin antigen [0.25 ug] format 4,1.0,0.0,0.0,0.0,0.125,0.5,0.0,0.6667,0.0,0.3333,2.625
Tag-9/9-Biotin antigen [0.25 ug] format 4,1.0,0.0,0.0,0.0,0.125,0.25,0.0,0.3333,0.6667,0.3333,2.7083
Tag-12/9-Biotin antigen [0.25 ug] format 4,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333,0.6667,0.6667,3.1667
Tag-17/9-Biotin antigen [0.25 ug] format 4,0.6667,0.0,0.0,0.2222,0.0,0.25,0.0,0.3333,0.6667,0.6667,2.8056
Generic-Tag/9-Biotin antigen [0.25 ug] format 4,0.3333,1.0,0.8889,0.5556,0.5,1.0,0.6667,1.0,1.0,1.0,7.9445
Tag-6/12-Biotin antigen [0.25 ug] format 4,1.0,0.4,0.2222,0.1111,0.0,0.5,0.0,1.0,1.0,0.8333,5.0666
Tag-8/12-Biotin antigen [0.25 ug] format 4,1.0,0.2,0.2222,0.1111,0.0,0.5,0.0,1.0,1.0,0.8333,4.8666
Tag-9/12-Biotin antigen [0.25 ug] format 4,1.0,0.2,0.1111,0.1111,0.0,0.5,0.0,1.0,0.6667,0.8333,4.4222
Tag-12/12-Biotin antigen [0.25 ug] format 4,1.0,0.4,0.2222,0.0,0.0,0.5,0.0,1.0,0.6667,0.8333,4.6222
Tag-17/12-Biotin antigen [0.25 ug] format 4,0.6667,0.2,0.1111,0.0,0.0,0.5,0.0,1.0,1.0,0.8333,4.3111
Generic-Tag/12-Biotin antigen [0.25 ug] format 4,0.3333,1.0,0.8889,0.7778,0.625,1.0,1.0,1.0,0.6667,0.6667,7.9584
Tag-6/17-Biotin antigen [0.25 ug] format 4,0.6667,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,4.1667
Tag-8/17-Biotin antigen [0.25 ug] format 4,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.6667,1.0,4.1667
Tag-9/17-Biotin antigen [0.25 ug] format 4,1.0,0.0,0.0,0.1111,0.0,0.5,0.0,1.0,0.6667,0.6667,3.9445
Tag-12/17-Biotin antigen [0.25 ug] format 4,0.6667,0.0,0.0,0.0,0.0,0.5,0.0,0.6667,0.6667,0.5,3.0001
Tag-17/17-Biotin antigen [0.25 ug] format 4,0.6667,0.0,0.0,0.2222,0.125,0.25,0.0,0.6667,0.3333,0.5,2.7639
Generic-Tag/17-Biotin antigen [0.25 ug] format 4,0.3333,0.8,0.8889,0.2222,0.5,0.5,0.3333,0.6667,0.6667,1.0,5.9111
Tag-6/6-Biotin antigen [0.25 ug] format 5,1.0,0.2,0.1111,0.1111,0.125,0.25,0.0,1.0,1.0,0.6667,4.4639
Tag-8/6-Biotin antigen [0.25 ug] format 5,1.0,0.0,0.0,0.1111,0.125,0.75,0.0,0.6667,1.0,1.0,4.6528
Tag-9/6-Biotin antigen [0.25 ug] format 5,1.0,0.0,0.0,0.0,0.125,0.5,0.0,0.3333,0.6667,0.6667,3.2917
Tag-12/6-Biotin antigen [0.25 ug] format 5,1.0,0.0,0.0,0.0,0.125,0.5,0.0,0.3333,1.0,0.8333,3.7916
Tag-17/6-Biotin antigen [0.25 ug] format 5,0.3333,0.0,0.0,0.0,0.125,0.5,0.0,0.0,1.0,0.8333,2.7916
Generic-Tag/6-Biotin antigen [0.25 ug] format 5,0.3333,1.0,1.0,0.6667,0.625,1.0,0.6667,1.0,1.0,0.8333,8.125
Tag-6/8-Biotin antigen [0.25 ug] format 5,1.0,0.2,0.1111,0.0,0.125,0.5,0.0,0.3333,0.0,0.6667,2.9361
Tag-8/8-Biotin antigen [0.25 ug] format 5,1.0,0.0,0.0,0.2222,0.0,0.75,0.0,0.3333,1.0,1.0,4.3055
Tag-9/8-Biotin antigen [0.25 ug] format 5,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.3333,1.5833
Tag-12/8-Biotin antigen [0.25 ug] format 5,1.0,0.2,0.1111,0.0,0.0,0.5,0.0,0.0,0.3333,0.5,2.6444
Tag-17/8-Biotin antigen [0.25 ug] format 5,0.6667,0.2,0.1111,0.0,0.125,0.25,0.0,0.6667,0.6667,1.0,3.6862
Generic-Tag/8-Biotin antigen [0.25 ug] format 5,0.3333,1.0,1.0,0.5556,0.5,1.0,0.6667,1.0,0.6667,1.0,7.7223
Tag-6/9-Biotin antigen [0.25 ug] format 5,1.0,0.0,0.1111,0.0,0.0,0.5,0.0,0.3333,0.6667,0.8333,3.4444
Tag-8/9-Biotin antigen [0.25 ug] format 5,1.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.3333,0.1667,2.0
Tag-9/9-Biotin antigen [0.25 ug] format 5,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333,0.0,0.3333,2.1666
Tag-12/9-Biotin antigen [0.25 ug] format 5,1.0,0.0,0.0,0.0,0.125,0.25,0.0,0.3333,0.3333,0.3333,2.3749
Tag-17/9-Biotin antigen [0.25 ug] format 5,0.6667,0.0,0.0,0.3333,0.0,0.25,0.0,0.6667,0.6667,0.6667,3.2501
Generic-Tag/9-Biotin antigen [0.25 ug] format 5,0.3333,1.0,0.8889,0.4444,0.5,1.0,0.6667,1.0,0.6667,1.0,7.5
Tag-6/12-Biotin antigen [0.25 ug] format 5,1.0,0.4,0.2222,0.0,0.125,0.25,0.0,1.0,1.0,0.5,4.4972
Tag-8/12-Biotin antigen [0.25 ug] format 5,1.0,0.2,0.1111,0.1111,0.0,0.5,0.0,1.0,1.0,0.6667,4.5889
Tag-9/12-Biotin antigen [0.25 ug] format 5,1.0,0.2,0.1111,0.1111,0.0,0.5,0.0,1.0,1.0,1.0,4.9222
Tag-12/12-Biotin antigen [0.25 ug] format 5,1.0,0.4,0.2222,0.0,0.0,0.5,0.0,1.0,0.6667,1.0,4.7889
Tag-17/12-Biotin antigen [0.25 ug] format 5,0.6667,0.2,0.1111,0.0,0.0,0.5,0.0,1.0,1.0,0.6667,4.1445
Generic-Tag/12-Biotin antigen [0.25 ug] format 5,0.3333,1.0,1.0,0.6667,0.625,1.0,1.0,1.0,0.3333,0.6667,7.625
Tag-6/17-Biotin antigen [0.25 ug] format 5,0.6667,0.0,0.0,0.3333,0.0,0.75,0.0,0.6667,0.6667,0.8333,3.9167
Tag-8/17-Biotin antigen [0.25 ug] format 5,1.0,0.0,0.0,0.0,0.125,0.25,0.0,0.6667,0.3333,0.3333,2.7083
Tag-9/17-Biotin antigen [0.25 ug] format 5,1.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.6667,0.6667,3.5834
Tag-12/17-Biotin antigen [0.25 ug] format 5,0.6667,0.0,0.0,0.0,0.25,0.25,0.0,0.6667,0.3333,0.8333,3.0
Tag-17/17-Biotin antigen [0.25 ug] format 5,0.6667,0.0,0.0,0.2222,0.25,0.25,0.0,0.0,1.0,0.8333,3.2222
Generic-Tag/17-Biotin antigen [0.25 ug] format 5,0.3333,1.0,0.7778,0.4444,0.375,0.75,0.3333,1.0,0.6667,0.8333,6.5138
Tag-6/6-Biotin antigen [0.25 ug] format 6,1.0,0.4,0.2222,0.0,0.125,0.5,0.0,0.6667,1.0,0.6667,4.5806
Tag-8/6-Biotin antigen [0.25 ug] format 6,1.0,0.2,0.1111,0.0,0.0,0.5,0.0,0.6667,1.0,0.6667,4.1445
Tag-9/6-Biotin antigen [0.25 ug] format 6,1.0,0.0,0.0,0.2222,0.0,0.75,0.0,0.6667,0.6667,0.8333,4.1389
Tag-12/6-Biotin antigen [0.25 ug] format 6,1.0,0.2,0.1111,0.0,0.0,0.5,0.0,0.6667,0.6667,0.8333,3.9778
Tag-17/6-Biotin antigen [0.25 ug] format 6,0.3333,0.2,0.1111,0.2222,0.125,0.5,0.0,1.0,0.6667,0.6667,3.825
Generic-Tag/6-Biotin antigen [0.25 ug] format 6,0.3333,1.0,1.0,0.7778,0.875,1.0,0.6667,1.0,0.0,0.6667,7.3195
Tag-6/8-Biotin antigen [0.25 ug] format 6,1.0,0.4,0.2222,0.0,0.125,0.5,0.0,0.6667,1.0,0.6667,4.5806
Tag-8/8-Biotin antigen [0.25 ug] format 6,1.0,0.2,0.1111,0.1111,0.0,0.5,0.0,0.6667,0.6667,0.8333,4.0889
Tag-9/8-Biotin antigen [0.25 ug] format 6,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333,1.0,0.8333,3.6666
Tag-12/8-Biotin antigen [0.25 ug] format 6,1.0,0.4,0.1111,0.0,0.0,0.5,0.0,0.6667,0.6667,0.8333,4.1778
Tag-17/8-Biotin antigen [0.25 ug] format 6,0.6667,0.2,0.1111,0.1111,0.0,0.5,0.0,0.6667,1.0,1.0,4.2556
Generic-Tag/8-Biotin antigen [0.25 ug] format 6,0.3333,1.0,0.8889,0.7778,1.0,1.0,1.0,1.0,0.0,0.6667,7.6667
Tag-6/9-Biotin antigen [0.25 ug] format 6,0.6667,0.2,0.1111,0.0,0.0,0.5,0.0,1.0,0.3333,0.6667,3.4778
Tag-8/9-Biotin antigen [0.25 ug] format 6,1.0,0.0,0.0,0.0,0.125,0.5,0.0,1.0,0.3333,0.5,3.4583
Tag-9/9-Biotin antigen [0.25 ug] format 6,1.0,0.0,0.0,0.1111,0.0,0.5,0.0,1.0,0.6667,0.6667,3.9445
Tag-12/9-Biotin antigen [0.25 ug] format 6,1.0,0.0,0.0,0.1111,0.0,0.5,0.0,1.0,1.0,0.6667,4.2778
Tag-17/9-Biotin antigen [0.25 ug] format 6,0.6667,0.0,0.0,0.0,0.125,0.5,0.0,1.0,1.0,1.0,4.2917
Generic-Tag/9-Biotin antigen [0.25 ug] format 6,0.3333,1.0,0.8889,0.6667,0.75,1.0,1.0,1.0,0.0,0.6667,7.3056
Tag-6/12-Biotin antigen [0.25 ug] format 6,1.0,0.4,0.2222,0.0,0.0,0.5,0.0,1.0,0.3333,0.5,3.9555
Tag-8/12-Biotin antigen [0.25 ug] format 6,0.6667,0.2,0.1111,0.0,0.25,0.25,0.0,1.0,0.3333,0.3333,3.1444
Tag-9/12-Biotin antigen [0.25 ug] format 6,1.0,0.0,0.0,0.1111,0.125,0.5,0.3333,1.0,1.0,1.0,5.0694
Tag-12/12-Biotin antigen [0.25 ug] format 6,1.0,0.2,0.1111,0.2222,0.0,0.25,0.0,1.0,0.6667,0.6667,4.1167
Tag-17/12-Biotin antigen [0.25 ug] format 6,0.6667,0.2,0.1111,0.2222,0.125,0.25,0.0,1.0,1.0,0.8333,4.4083
Generic-Tag/12-Biotin antigen [0.25 ug] format 6,0.3333,1.0,0.8889,0.5556,0.75,1.0,1.0,1.0,0.0,0.6667,7.1945
Tag-6/17-Biotin antigen [0.25 ug] format 6,0.6667,0.2,0.1111,0.3333,0.0,0.75,0.0,1.0,0.0,0.6667,3.7278
Tag-8/17-Biotin antigen [0.25 ug] format 6,1.0,0.0,0.0,0.0,0.125,0.5,0.0,1.0,0.0,1.0,3.625
Tag-9/17-Biotin antigen [0.25 ug] format 6,1.0,0.0,0.0,0.1111,0.0,0.25,0.0,0.6667,0.6667,0.6667,3.3612
Tag-12/17-Biotin antigen [0.25 ug] format 6,1.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0,0.0,0.0,2.75
Tag-17/17-Biotin antigen [0.25 ug] format 6,0.3333,0.0,0.0,0.3333,0.25,0.5,0.0,0.6667,0.6667,0.6667,3.4167
Generic-Tag/17-Biotin antigen [0.25 ug] format 6,0.0,1.0,1.0,1.0,1.0,0.0,0.6667,1.0,0.0,0.6667,6.3334
