Condition,Background,ULOQ Sen. + Ant.,ULOQ Sen. - Ant.,LLOQ Sen. + Ant.,LLOQ Sen. - Ant.,S/N + Ant.,S/N - Ant.,Ant. Int. [100x],Ant. Int. [10x],Ant. Int. [1x],Total
Tag-6/6-Biotin antigen [0.25 ug] format 1,1.0,0.2,0.1111,0.1111,0.0,0.5,0.0,0.0,1.0,1.0,3.9222
Tag-8/6-Biotin antigen [0.25 ug] format 1,1.0,0.2,0.1111,0.1111,0.125,0.5,0.3333,0.3333,0.6667,0.8333,4.2138
Tag-9/6-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.1111,0.125,0.25,0.0,1.0,0.6667,0.3333,3.4861
Tag-12/6-Biotin antigen [0.25 ug] format 1,1.0,0.2,0.1111,0.0,0.125,0.5,0.0,0.6667,1.0,0.8333,4.4361
Tag-17/6-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.1111,0.125,0.25,0.0,0.6667,0.6667,0.8333,3.6528
Generic-Tag/6-Biotin antigen [0.25 ug] format 1,0.6667,0.8,0.6667,0.1111,0.125,0.5,0.0,1.0,0.6667,1.0,5.5362
Tag-6/8-Biotin antigen [0.25 ug] format 1,1.0,0.2,0.1111,0.2222,0.0,0.75,0.0,0.3333,1.0,1.0,4.6166
Tag-8/8-Biotin antigen [0.25 ug] format 1,1.0,0.2,0.1111,0.2222,0.25,0.75,0.3333,0.6667,1.0,0.6667,5.2
Tag-9/8-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.6667,1.0,0.6667,3.5834
Tag-12/8-Biotin antigen [0.25 ug] format 1,1.0,0.2,0.1111,0.0,0.125,0.5,0.0,0.6667,1.0,1.0,4.6028
Tag-17/8-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.6667,1.0,1.0,3.9167
Generic-Tag/8-Biotin antigen [0.25 ug] format 1,0.6667,0.6,0.3333,0.0,0.25,0.5,0.0,1.0,0.6667,1.0,5.0167
Tag-6/9-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.2222,0.125,0.25,0.0,0.0,1.0,0.8333,3.4305
Tag-8/9-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.0,0.125,0.25,0.0,0.3333,1.0,0.5,3.2083
Tag-9/9-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.0,0.125,0.25,0.0,1.0,1.0,0.8333,4.2083
Tag-12/9-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.0,0.125,0.25,0.0,0.6667,1.0,1.0,4.0417
Tag-17/9-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.0,0.25,0.5,0.0,0.6667,1.0,0.3333,3.75
Generic-Tag/9-Biotin antigen [0.25 ug] format 1,0.6667,0.6,0.3333,0.0,0.0,0.5,0.0,1.0,1.0,1.0,5.1
Tag-6/12-Biotin antigen [0.25 ug] format 1,1.0,0.2,0.1111,0.0,0.125,0.25,0.3333,0.3333,1.0,0.8333,4.186
Tag-8/12-Biotin antigen [0.25 ug] format 1,1.0,0.2,0.1111,0.1111,0.0,0.75,0.0,0.3333,1.0,1.0,4.5055
Tag-9/12-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.0,0.125,0.5,0.0,1.0,0.6667,0.5,3.7917
Tag-12/12-Biotin antigen [0.25 ug] format 1,1.0,0.2,0.1111,0.1111,0.0,0.5,0.0,1.0,1.0,0.8333,4.7555
Tag-17/12-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.1111,0.25,0.5,0.0,1.0,1.0,0.8333,4.6944
Generic-Tag/12-Biotin antigen [0.25 ug] format 1,0.6667,0.6,0.3333,0.0,0.125,0.5,0.0,1.0,1.0,1.0,5.225
Tag-6/17-Biotin antigen [0.25 ug] format 1,0.6667,0.2,0.0,0.2222,0.25,0.5,0.0,0.6667,1.0,1.0,4.5056
Tag-8/17-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.6667,1.0,0.3333,3.25
Tag-9/17-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.1111,0.125,0.5,0.0,1.0,1.0,1.0,4.7361
