PKA Conditions,Background,ULOQ Sen. + Ant.,ULOQ Sen. - Ant.,LLOQ Sen. + Ant.,LLOQ Sen. - Ant.,S/N + Ant.,S/N - Ant.,Ant. Int. [100x],Ant. Int. [10x],Ant. Int. [1x],Total
Tag-6/6-Biotin antigen [0.25 ug] format 1,1,0,0,3,2,2,1,0,2,2,13
Tag-8/6-Biotin antigen [0.25 ug] format 1,2,0,0,2,2,2,1,1,2,3,15
Tag-9/6-Biotin antigen [0.25 ug] format 1,1,0,0,0,0,0,0,1,2,1,5
Tag-12/6-Biotin antigen [0.25 ug] format 1,2,0,0,1,1,1,1,0,2,2,10
Tag-17/6-Biotin antigen [0.25 ug] format 1,2,1,0,1,1,1,1,1,3,2,13
Generic-Tag/6-Biotin antigen [0.25 ug] format 1,3,1,2,2,1,1,1,3,1,3,18
Tag-6/8-Biotin antigen [0.25 ug] format 1,4,1,0,3,2,2,2,2,2,3,21
Tag-8/8-Biotin antigen [0.25 ug] format 1,3,0,0,3,2,2,2,2,2,3,19
Tag-9/8-Biotin antigen [0.25 ug] format 1,4,0,0,0,0,0,0,2,1,2,9
Tag-12/8-Biotin antigen [0.25 ug] format 1,3,0,0,2,1,1,1,2,2,3,15
Tag-17/8-Biotin antigen [0.25 ug] format 1,4,1,1,1,1,1,1,2,2,3,17
Generic-Tag/8-Biotin antigen [0.25 ug] format 1,4,1,1,1,1,1,1,2,1,2,15
Tag-6/9-Biotin antigen [0.25 ug] format 1,2,0,0,0,0,0,0,2,1,3,8
Tag-8/9-Biotin antigen [0.25 ug] format 1,3,0,0,0,0,0,0,2,1,3,9
Tag-9/9-Biotin antigen [0.25 ug] format 1,2,0,0,0,0,0,0,2,2,2,8
Tag-12/9-Biotin antigen [0.25 ug] format 1,2,0,0,0,0,0,0,2,3,2,9
Tag-17/9-Biotin antigen [0.25 ug] format 1,2,0,0,0,0,0,0,3,3,2,10
Generic-Tag/9-Biotin antigen [0.25 ug] format 1,2,1,1,1,1,1,1,3,2,2,15
Tag-6/12-Biotin antigen [0.25 ug] format 1,3,0,0,2,2,2,1,1,3,2,16
Tag-8/12-Biotin antigen [0.25 ug] format 1,3,0,0,2,2,2,1,2,3,2,17
Tag-9/12-Biotin antigen [0.25 ug] format 1,2,0,0,0,0,0,0,2,2,2,8
Tag-12/12-Biotin antigen [0.25 ug] format 1,2,0,0,2,2,1,1,2,2,1,13
Tag-17/12-Biotin antigen [0.25 ug] format 1,3,0,0,1,1,1,1,2,2,2,13
Generic-Tag/12-Biotin antigen [0.25 ug] format 1,2,1,1,1,1,1,1,3,2,2,15
Tag-6/17-Biotin antigen [0.25 ug] format 1,3,1,0,2,1,1,1,1,3,3,16
Tag-8/17-Biotin antigen [0.25 ug] format 1,3,0,0,2,1,2,1,2,2,3,16
Tag-9/17-Biotin antigen [0.25 ug] format 1,3,0,0,0,0,0,0,2,3,2,10
Tag-12/17-Biotin antigen [0.25 ug] format 1,4,0,0,1,1,1,1,2,3,3,16
Tag-17/17-Biotin antigen [0.25 ug] format 1,2,1,1,1,1,1,1,3,3,3,17
Generic-Tag/17-Biotin antigen [0.25 ug] format 1,3,3,2,1,1,1,1,3,2,3,20
Tag-6/6-Biotin antigen [0.25 ug] format 2,4,0,0,3,2,2,2,0,2,2,17
Tag-8/6-Biotin antigen [0.25 ug] format 2,3,0,0,2,2,2,1,1,2,3,16
Tag-9/6-Biotin antigen [0.25 ug] format 2,4,0,0,0,0,0,0,1,2,2,9
