PKA Conditions,Score
Tag-6/8-Biotin antigen [0.25 ug] format 5,1
Tag-8/8-Biotin antigen [0.25 ug] format 5,5
Tag-9/8-Biotin antigen [0.25 ug] format 5,0
Tag-12/8-Biotin antigen [0.25 ug] format 5,0
Tag-17/8-Biotin antigen [0.25 ug] format 5,4
Generic-Tag/8-Biotin antigen [0.25 ug] format 5,8
Tag-6/9-Biotin antigen [0.25 ug] format 5,2
Tag-8/9-Biotin antigen [0.25 ug] format 5,1
Tag-9/9-Biotin antigen [0.25 ug] format 5,1
Tag-12/9-Biotin antigen [0.25 ug] format 5,1
Tag-17/9-Biotin antigen [0.25 ug] format 5,3
Generic-Tag/9-Biotin antigen [0.25 ug] format 5,8
Tag-6/12-Biotin antigen [0.25 ug] format 5,3
Tag-8/12-Biotin antigen [0.25 ug] format 5,3
Tag-9/12-Biotin antigen [0.25 ug] format 5,5
Tag-12/12-Biotin antigen [0.25 ug] format 5,4
Tag-17/12-Biotin antigen [0.25 ug] format 5,4
Generic-Tag/12-Biotin antigen [0.25 ug] format 5,8
Tag-6/17-Biotin antigen [0.25 ug] format 5,5
Tag-8/17-Biotin antigen [0.25 ug] format 5,1
Tag-9/17-Biotin antigen [0.25 ug] format 5,3
Tag-12/17-Biotin antigen [0.25 ug] format 5,4
Tag-17/17-Biotin antigen [0.25 ug] format 5,0
Generic-Tag/17-Biotin antigen [0.25 ug] format 5,8
Tag-6/6-Biotin antigen [0.25 ug] format 6,4
Tag-8/6-Biotin antigen [0.25 ug] format 6,5
Tag-9/6-Biotin antigen [0.25 ug] format 6,5
Tag-12/6-Biotin antigen [0.25 ug] format 6,4
Tag-17/6-Biotin antigen [0.25 ug] format 6,4
Generic-Tag/6-Biotin antigen [0.25 ug] format 6,7
Tag-6/8-Biotin antigen [0.25 ug] format 6,5
Tag-8/8-Biotin antigen [0.25 ug] format 6,5
Tag-9/8-Biotin antigen [0.25 ug] format 6,5
Tag-12/8-Biotin antigen [0.25 ug] format 6,5
Tag-17/8-Biotin antigen [0.25 ug] format 6,4
Generic-Tag/8-Biotin antigen [0.25 ug] format 6,7
Tag-6/9-Biotin antigen [0.25 ug] format 6,3
Tag-8/9-Biotin antigen [0.25 ug] format 6,3
Tag-9/9-Biotin antigen [0.25 ug] format 6,5
Tag-12/9-Biotin antigen [0.25 ug] format 6,5
Tag-17/9-Biotin antigen [0.25 ug] format 6,4
Generic-Tag/9-Biotin antigen [0.25 ug] format 6,7
Tag-6/12-Biotin antigen [0.25 ug] format 6,3
Tag-8/12-Biotin antigen [0.25 ug] format 6,1
Tag-9/12-Biotin antigen [0.25 ug] format 6,5
Tag-12/12-Biotin antigen [0.25 ug] format 6,3
Tag-17/12-Biotin antigen [0.25 ug] format 6,4
Generic-Tag/12-Biotin antigen [0.25 ug] format 6,7
Tag-6/17-Biotin antigen [0.25 ug] format 6,1
Tag-8/17-Biotin antigen [0.25 ug] format 6,4
Tag-9/17-Biotin antigen [0.25 ug] format 6,3
Tag-12/17-Biotin antigen [0.25 ug] format 6,1
Tag-17/17-Biotin antigen [0.25 ug] format 6,4
Generic-Tag/17-Biotin antigen [0.25 ug] format 6,7
