Condition,Background,ULOQ Sen. + Ant.,ULOQ Sen. - Ant.,LLOQ Sen. + Ant.,LLOQ Sen. - Ant.,S/N + Ant.,S/N - Ant.,Ant. Int. [100x],Ant. Int. [10x],Ant. Int. [1x],Total
Tag-6/6-Biotin antigen [0.25 ug] format 1,0.25,0.0,0.0,0.3333,0.2222,0.3333,0.125,0.0,0.6667,0.6667,2.5972
Tag-8/6-Biotin antigen [0.25 ug] format 1,0.5,0.0,0.0,0.2222,0.2222,0.3333,0.125,0.3333,0.6667,1.0,3.4027
Tag-9/6-Biotin antigen [0.25 ug] format 1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,0.3333,1.5833
Tag-12/6-Biotin antigen [0.25 ug] format 1,0.5,0.0,0.0,0.1111,0.1111,0.1667,0.125,0.0,0.6667,0.6667,2.3473
Tag-17/6-Biotin antigen [0.25 ug] format 1,0.5,0.1111,0.0,0.1111,0.1111,0.1667,0.125,0.3333,1.0,0.6667,3.125
Generic-Tag/6-Biotin antigen [0.25 ug] format 1,0.75,0.1111,0.2857,0.2222,0.1111,0.1667,0.125,1.0,0.3333,1.0,4.1051
Tag-6/8-Biotin antigen [0.25 ug] format 1,1.0,0.1111,0.0,0.3333,0.2222,0.3333,0.25,0.6667,0.6667,1.0,4.5833
Tag-8/8-Biotin antigen [0.25 ug] format 1,0.75,0.0,0.0,0.3333,0.2222,0.3333,0.25,0.6667,0.6667,1.0,4.2222
Tag-9/8-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.6667,2.6667
Tag-12/8-Biotin antigen [0.25 ug] format 1,0.75,0.0,0.0,0.2222,0.1111,0.1667,0.125,0.6667,0.6667,1.0,3.7084
Tag-17/8-Biotin antigen [0.25 ug] format 1,1.0,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,0.6667,0.6667,1.0,4.1013
Generic-Tag/8-Biotin antigen [0.25 ug] format 1,1.0,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,0.6667,0.3333,0.6667,3.4346
Tag-6/9-Biotin antigen [0.25 ug] format 1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,1.0,2.5
Tag-8/9-Biotin antigen [0.25 ug] format 1,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,1.0,2.75
